date,OUT_PLANNED_GWH_D,OUT_UNPLANNED_GWH_D,OUT_N_EVENTS
2020-06-01,157.0,0.0,5
2020-06-02,157.0,0.0,5
2020-06-03,157.0,0.0,5
2020-06-04,157.0,0.0,5
2020-06-05,157.0,198.9,10
2020-06-06,157.0,198.9,10
2020-06-07,157.0,198.9,10
2020-06-08,199.4,259.9,12
2020-06-09,152.4,259.9,11
2020-06-10,152.4,259.9,11
2020-06-11,152.4,259.9,11
2020-06-12,152.4,259.9,11
2020-06-13,110.0,198.9,9
2020-06-14,110.0,198.9,9
2020-06-15,348.0,198.9,11
2020-06-16,678.1,198.9,13
2020-06-17,678.1,198.9,13
2020-06-18,471.1,199.0,14
2020-06-19,471.1,198.9,12
2020-06-20,471.1,198.9,12
2020-06-21,373.1,198.9,11
2020-06-22,1141.7,198.9,18
2020-06-23,879.7,425.5,17
2020-06-24,879.7,425.5,17
2020-06-25,756.6,425.5,16
2020-06-26,756.6,198.9,15
2020-06-27,580.9,198.9,12
2020-06-28,580.9,198.9,12
2020-06-29,855.9,176.9,13
2020-06-30,1146.3,176.9,15
2020-07-01,638.0,367.9,13
2020-07-02,638.0,176.9,11
2020-07-03,638.0,176.9,11
2020-07-04,223.0,176.9,8
2020-07-05,223.0,176.9,8
2020-07-06,425.2,220.1,12
2020-07-07,425.2,220.1,12
2020-07-08,425.2,220.1,12
2020-07-09,425.2,220.1,12
2020-07-10,482.2,220.1,13
2020-07-11,358.0,220.1,12
2020-07-12,358.0,220.1,12
2020-07-13,584.6,220.1,13
2020-07-14,584.6,176.9,12
2020-07-15,584.6,176.9,12
2020-07-16,218.0,176.9,10
2020-07-17,218.0,176.9,10
2020-07-18,218.0,176.9,10
2020-07-19,218.0,176.9,10
2020-07-20,377.0,176.9,11
2020-07-21,377.0,176.9,11
2020-07-22,377.0,176.9,11
2020-07-23,377.0,176.9,11
2020-07-24,377.0,177.0,12
2020-07-25,377.0,176.9,11
2020-07-26,377.0,176.9,11
2020-07-27,377.0,176.9,11
2020-07-28,377.0,176.9,10
2020-07-29,377.0,176.9,10
2020-07-30,377.0,176.9,10
2020-07-31,377.0,176.9,10
2020-08-01,377.0,176.9,10
2020-08-02,377.0,176.9,10
2020-08-03,463.0,176.9,11
2020-08-04,463.0,176.9,11
2020-08-05,463.0,177.5,12
2020-08-06,463.0,176.9,11
2020-08-07,463.0,176.9,11
2020-08-08,463.0,176.9,11
2020-08-09,463.0,176.9,16
2020-08-10,680.0,176.9,12
2020-08-11,541.0,176.9,12
