date,OUT_PLANNED_GWH_D,OUT_UNPLANNED_GWH_D,OUT_N_EVENTS
2020-08-12,541.0,176.9,12
2020-08-13,521.0,176.9,11
2020-08-14,521.0,176.9,11
2020-08-15,521.0,176.9,11
2020-08-16,540.0,176.9,12
2020-08-17,766.6,176.9,13
2020-08-18,747.6,423.1,16
2020-08-19,747.6,423.1,16
2020-08-20,747.6,423.1,16
2020-08-21,747.6,373.9,14
2020-08-22,747.6,373.9,14
2020-08-23,747.6,373.9,14
2020-08-24,747.6,373.9,14
2020-08-25,747.6,373.9,14
2020-08-26,747.6,373.9,14
2020-08-27,747.6,373.9,14
2020-08-28,747.6,373.9,14
2020-08-29,669.6,373.9,12
2020-08-30,669.6,375.7,15
2020-08-31,1011.0,373.9,16
2020-09-01,1350.6,373.9,14
2020-09-02,1011.6,373.9,13
2020-09-03,1615.6,467.9,16
2020-09-04,1011.6,467.9,14
2020-09-05,226.0,467.9,11
2020-09-06,226.0,467.9,11
2020-09-07,226.0,467.9,11
2020-09-08,226.0,467.9,11
2020-09-09,226.0,373.9,10
2020-09-10,226.0,154.9,7
2020-09-11,226.0,154.9,7
2020-09-12,226.0,154.9,7
2020-09-13,226.0,154.9,7
2020-09-14,539.2,154.9,9
2020-09-15,690.5,154.9,11
2020-09-16,681.4,154.9,10
2020-09-17,681.4,154.9,10
2020-09-18,681.4,154.9,10
2020-09-19,287.4,154.9,8
2020-09-20,287.4,154.9,8
2020-09-21,451.4,154.9,11
2020-09-22,287.4,154.9,8
2020-09-23,1037.1,154.9,12
2020-09-24,356.09999999999997,154.9,9
2020-09-25,292.59999999999997,154.9,9
2020-09-26,276.4,154.9,7
2020-09-27,276.4,154.9,7
2020-09-28,391.4,154.9,8
2020-09-29,391.4,154.9,8
2020-09-30,391.4,154.9,8
2020-10-01,244.0,154.9,6
2020-10-02,384.0,154.9,7
2020-10-03,384.0,154.9,7
2020-10-04,1216.5,154.9,9
2020-10-05,1216.5,154.9,9
2020-10-06,1216.5,154.9,9
2020-10-07,1216.5,154.9,9
2020-10-08,1216.5,154.9,9
2020-10-09,1216.5,154.9,9
2020-10-10,1216.5,154.9,9
2020-10-11,253.5,35.9,6
2020-10-12,253.5,0.0,4
2020-10-13,253.5,0.0,4
2020-10-14,253.5,0.0,4
2020-10-15,253.5,0.0,4
2020-10-16,187.0,0.0,2
2020-10-17,187.0,0.0,2
2020-10-18,187.0,0.0,2
2020-10-19,419.0,416.0,5
2020-10-20,419.0,416.0,5
2020-10-21,419.0,0.0,3
2020-10-22,187.0,0.0,2
2020-10-23,187.0,0.7999999999999999,10
2020-10-24,187.0,0.8999999999999999,7
2020-10-25,187.0,0.0,2
2020-10-26,662.2,0.0,7
2020-10-27,392.59999999999997,0.0,7
2020-10-28,392.59999999999997,0.0,7
2020-10-29,315.59999999999997,0.0,6
2020-10-30,299.2,0.0,5
2020-10-31,299.2,0.0,5
2020-11-01,299.2,0.0,5
2020-11-02,1198.2,0.0,9
2020-11-03,1198.2,0.1,12
2020-11-04,1544.9,0.0,11
2020-11-05,1704.0,0.0,11
2020-11-06,1688.0,0.0,10
2020-11-07,1659.0000000000002,0.0,9
2020-11-08,805.0000000000001,0.0,7
2020-11-09,1037.0,0.0,8
2020-11-10,1441.4,309.2,14
2020-11-11,1184.4,82.6,11
2020-11-12,1310.7,0.0,10
2020-11-13,392.3,0.0,5
2020-11-14,269.1,0.0,3
2020-11-15,269.1,0.0,3
2020-11-16,269.1,0.0,3
2020-11-17,269.1,0.0,3
2020-11-18,332.1,0.0,3
2020-11-19,332.1,0.0,3
2020-11-20,265.1,0.0,3
2020-11-21,231.1,0.0,2
2020-11-22,231.1,0.0,2
2020-11-23,471.5,0.0,5
2020-11-24,366.4,47.2,4
2020-11-25,400.4,47.2,5
2020-11-26,400.4,47.2,11
2020-11-27,244.4,47.2,3
2020-11-28,244.4,0.0,2
2020-11-29,244.4,0.0,2
2020-11-30,244.4,0.0,2
2020-12-01,244.4,0.0,2
2020-12-02,244.4,0.0,2
2020-12-03,244.4,0.6,3
2020-12-04,244.4,0.0,2
2020-12-05,244.4,0.0,2
2020-12-06,244.4,0.0,2
2020-12-07,244.4,0.0,2
2020-12-08,244.4,0.0,3
2020-12-09,244.4,0.0,2
2020-12-10,244.4,0.0,2
2020-12-11,244.4,0.0,2
2020-12-12,244.4,0.0,2
2020-12-13,244.4,0.0,2
2020-12-14,244.4,0.0,2
2020-12-15,244.4,0.0,3
2020-12-16,244.4,0.0,3
2020-12-17,244.4,0.0,3
2020-12-18,244.4,0.0,3
2020-12-19,244.4,0.0,3
2020-12-20,244.4,0.0,3
2020-12-21,244.4,0.0,3
2020-12-22,244.4,0.0,4
2020-12-23,72.0,0.0,2
2020-12-24,72.0,0.0,2
2020-12-25,72.0,0.0,2
2020-12-26,72.0,0.0,2
2020-12-27,72.0,0.0,2
2020-12-28,72.0,0.0,2
2020-12-29,72.0,11.0,3
2020-12-30,72.0,11.0,3
2020-12-31,72.0,11.0,3
2021-01-01,112.5,11.0,4
2021-01-02,112.5,11.0,4
2021-01-03,112.5,11.0,4
2021-01-04,527.8,11.0,8
2021-01-05,527.8,11.0,8
2021-01-06,527.8,11.0,8
2021-01-07,527.8,11.0,8
2021-01-08,527.8,11.0,8
2021-01-09,527.8,11.0,8
2021-01-10,527.8,11.0,8
2021-01-11,527.8,11.0,8
2021-01-12,527.8,11.0,8
2021-01-13,527.8,11.0,8
2021-01-14,527.8,11.0,8
2021-01-15,527.8,11.0,8
2021-01-16,527.8,0.0,7
2021-01-17,527.8,0.0,7
2021-01-18,533.2,0.0,8
2021-01-19,533.2,0.0,8
2021-01-20,533.2,0.0,8
2021-01-21,533.2,0.0,8
2021-01-22,533.2,0.0,8
2021-01-23,533.2,0.0,8
2021-01-24,533.2,0.0,8
2021-01-25,533.2,0.0,8
2021-01-26,533.2,0.0,8
2021-01-27,533.2,0.0,8
2021-01-28,533.2,6.0,9
2021-01-29,533.2,6.0,9
2021-01-30,533.2,0.0,8
2021-01-31,527.8,257.2,9
2021-02-01,527.8,257.2,9
2021-02-02,527.8,385.79999999999995,11
2021-02-03,527.8,0.0,7
2021-02-04,527.8,0.0,7
2021-02-05,395.8,0.0,5
2021-02-06,383.5,0.0,4
2021-02-07,383.5,0.0,4
2021-02-08,454.2,0.0,7
2021-02-09,454.2,0.0,6
2021-02-10,700.8000000000001,0.0,6
2021-02-11,700.8000000000001,0.0,6
2021-02-12,700.8000000000001,0.0,6
2021-02-13,700.8000000000001,0.0,6
2021-02-14,630.1,0.0,5
2021-02-15,630.1,0.0,5
2021-02-16,646.1,0.0,6
2021-02-17,646.1,0.0,6
2021-02-18,646.1,0.0,6
2021-02-19,399.5,0.0,5
2021-02-20,399.5,0.0,5
2021-02-21,399.5,0.0,5
2021-02-22,128.5,0.0,4
2021-02-23,128.5,0.0,4
2021-02-24,128.5,0.0,4
2021-02-25,128.5,0.0,4
2021-02-26,128.5,0.0,4
2021-02-27,128.5,0.0,4
2021-02-28,128.5,0.0,4
2021-03-01,196.5,0.0,6
2021-03-02,196.5,0.0,6
2021-03-03,214.5,0.0,6
2021-03-04,214.5,0.0,6
2021-03-05,158.5,0.0,5
2021-03-06,158.5,0.0,5
2021-03-07,158.5,0.0,5
2021-03-08,158.5,0.0,5
2021-03-09,158.5,0.0,5
2021-03-10,158.5,0.0,5
2021-03-11,158.5,0.0,4
2021-03-12,158.5,0.0,4
2021-03-13,158.5,0.0,4
2021-03-14,158.5,0.0,4
2021-03-15,158.5,0.0,4
2021-03-16,158.5,0.0,4
2021-03-17,158.5,0.1,5
2021-03-18,289.5,0.0,5
2021-03-19,158.5,0.0,4
2021-03-20,158.5,0.0,4
2021-03-21,158.5,0.0,4
2021-03-22,298.9,0.0,6
2021-03-23,298.9,0.0,6
2021-03-24,298.9,0.0,6
2021-03-25,298.9,0.1,7
2021-03-26,298.9,0.0,6
2021-03-27,263.5,0.0,5
2021-03-28,263.5,0.0,5
2021-03-29,263.5,0.0,5
2021-03-30,263.5,208.0,7
2021-03-31,263.5,217.6,8
2021-04-01,338.3,217.6,11
2021-04-02,195.8,217.6,8
2021-04-03,195.8,217.6,8
2021-04-04,195.8,217.6,8
2021-04-05,195.8,217.6,8
2021-04-06,195.8,217.6,8
2021-04-07,333.1,316.0,15
2021-04-08,195.8,316.0,14
2021-04-09,195.8,316.0,14
2021-04-10,195.8,316.0,14
2021-04-11,195.8,316.0,14
2021-04-12,513.5,316.0,16
2021-04-13,798.9,248.0,17
2021-04-14,983.1,248.0,19
2021-04-15,1358.1999999999998,248.0,18
2021-04-16,603.8,248.0,15
2021-04-17,330.6,248.0,13
2021-04-18,330.6,248.0,13
2021-04-19,1273.1,248.0,21
2021-04-20,1447.6999999999998,248.0,22
2021-04-21,1447.6999999999998,248.0,22
2021-04-22,1243.7,248.0,19
2021-04-23,705.1,248.0,16
2021-04-24,314.6,215.20000000000002,10
2021-04-25,314.6,215.20000000000002,10
2021-04-26,895.2,305.20000000000005,18
2021-04-27,801.6,305.20000000000005,18
2021-04-28,801.6,327.20000000000005,18
2021-04-29,706.6,491.4,19
2021-04-30,706.6,409.40000000000003,17
2021-05-01,230.9,245.20000000000002,12
2021-05-02,230.9,245.20000000000002,12
2021-05-03,615.2,245.20000000000002,18
2021-05-04,615.2,245.20000000000002,18
2021-05-05,615.2,245.20000000000002,18
2021-05-06,615.2,245.20000000000002,18
2021-05-07,615.2,245.20000000000002,18
2021-05-08,467.79999999999995,245.20000000000002,16
2021-05-09,467.79999999999995,245.20000000000002,16
2021-05-10,467.79999999999995,245.20000000000002,16
2021-05-11,467.79999999999995,245.20000000000002,16
2021-05-12,467.79999999999995,245.20000000000002,16
2021-05-13,467.79999999999995,245.20000000000002,16
2021-05-14,467.79999999999995,334.20000000000005,17
2021-05-15,467.79999999999995,334.20000000000005,17
2021-05-16,467.79999999999995,334.20000000000005,17
2021-05-17,557.8,334.20000000000005,17
2021-05-18,557.8,334.20000000000005,19
2021-05-19,842.8,245.20000000000002,19
2021-05-20,1423.2,245.20000000000002,22
2021-05-21,557.8,245.20000000000002,18
2021-05-22,371.9,245.20000000000002,15
2021-05-23,230.8,245.20000000000002,14
2021-05-24,332.0,245.20000000000002,16
2021-05-25,332.0,245.3,17
2021-05-26,332.0,286.6,17
2021-05-27,332.0,286.6,17
2021-05-28,671.0,286.6,18
2021-05-29,671.0,286.6,18
2021-05-30,671.0,286.6,18
2021-05-31,671.0,286.6,18
2021-06-01,671.0,270.20000000000005,17
2021-06-02,671.0,228.8,16
2021-06-03,671.0,228.8,16
2021-06-04,671.0,228.8,16
2021-06-05,671.0,228.8,16
2021-06-06,671.0,228.8,16
2021-06-07,853.2,228.8,18
2021-06-08,879.2,228.8,20
2021-06-09,870.7,228.8,19
2021-06-10,748.2,198.8,16
2021-06-11,748.2,198.8,16
2021-06-12,409.2,198.8,15
2021-06-13,366.8,198.8,14
2021-06-14,698.1,198.8,16
2021-06-15,698.1,198.8,16
2021-06-16,698.1,198.8,16
2021-06-17,698.1,198.8,16
2021-06-18,698.1,198.8,16
2021-06-19,558.3,198.8,15
2021-06-20,558.3,198.8,15
2021-06-21,933.5,198.8,20
2021-06-22,933.5,198.8,20
2021-06-23,734.7,198.8,21
2021-06-24,656.7,198.8,19
2021-06-25,524.1999999999999,182.4,15
2021-06-26,524.1999999999999,267.1,16
2021-06-27,490.09999999999997,182.4,14
2021-06-28,568.5,182.4,15
2021-06-29,568.5,182.4,15
2021-06-30,445.40000000000003,182.4,14
2021-07-01,445.40000000000003,166.0,13
2021-07-02,550.4,0.0,11
2021-07-03,370.8,0.0,8
2021-07-04,370.8,0.0,8
2021-07-05,1146.3,0.0,13
2021-07-06,1193.5,0.0,14
2021-07-07,966.8999999999999,0.0,13
2021-07-08,966.8999999999999,0.0,13
2021-07-09,966.8999999999999,0.0,13
2021-07-10,826.8999999999999,0.0,12
2021-07-11,702.6999999999999,0.0,11
2021-07-12,740.6999999999999,0.0,13
2021-07-13,740.6999999999999,0.0,13
2021-07-14,555.0,0.0,10
2021-07-15,555.0,0.0,11
2021-07-16,555.0,0.0,10
2021-07-17,388.0,0.0,9
2021-07-18,388.0,0.0,9
2021-07-19,528.0,0.0,10
2021-07-20,528.0,0.0,10
2021-07-21,528.0,0.0,10
2021-07-22,528.0,0.0,10
2021-07-23,528.0,0.0,10
2021-07-24,528.0,0.0,10
2021-07-25,528.0,1.2,12
2021-07-26,528.0,0.0,10
2021-07-27,528.0,0.0,10
2021-07-28,528.0,0.0,12
2021-07-29,625.0,0.0,12
2021-07-30,528.0,0.0,10
2021-07-31,388.0,0.0,8
2021-08-01,388.0,0.0,8
2021-08-02,388.0,0.0,8
2021-08-03,388.0,0.0,8
2021-08-04,388.0,24.6,9
2021-08-05,388.0,24.6,9
2021-08-06,388.0,0.0,8
2021-08-07,388.0,0.0,8
2021-08-08,388.0,0.0,8
2021-08-09,388.0,0.0,8
2021-08-10,388.0,0.0,8
2021-08-11,388.0,0.0,8
2021-08-12,388.0,0.0,8
2021-08-13,388.0,0.0,8
2021-08-14,388.0,0.0,8
2021-08-15,388.0,0.0,8
2021-08-16,720.9999999999999,0.0,10
2021-08-17,673.8000000000001,0.2,10
2021-08-18,958.8,0.0,11
2021-08-19,958.8,0.0,14
2021-08-20,673.8000000000001,3.7,10
2021-08-21,673.8000000000001,0.0,9
2021-08-22,673.8000000000001,0.0,9
2021-08-23,701.8,0.0,10
2021-08-24,701.8,0.0,10
2021-08-25,713.8,0.0,11
2021-08-26,673.8000000000001,0.0,9
2021-08-27,673.8000000000001,0.0,9
2021-08-28,567.4000000000001,0.0,8
2021-08-29,567.4000000000001,0.0,8
2021-08-30,1446.6000000000001,0.0,9
2021-08-31,1446.6000000000001,0.0,9
2021-09-01,1446.6000000000001,0.0,9
2021-09-02,1446.6000000000001,0.0,9
2021-09-03,1663.6000000000001,0.0,10
2021-09-04,1612.6000000000001,0.0,9
2021-09-05,1612.6000000000001,0.0,9
2021-09-06,2043.3000000000002,0.0,11
2021-09-07,2180.6,0.0,12
2021-09-08,2043.3000000000002,0.0,11
2021-09-09,2043.3000000000002,0.0,11
2021-09-10,2043.3000000000002,0.0,11
2021-09-11,2043.3000000000002,0.0,11
2021-09-12,2043.3000000000002,0.0,11
2021-09-13,2043.3000000000002,0.0,11
2021-09-14,2179.7,0.0,12
2021-09-15,2179.7,0.0,12
2021-09-16,2043.3000000000002,0.0,11
2021-09-17,1826.3000000000002,40.0,18
2021-09-18,732.1,169.89999999999998,34
2021-09-19,505.5,169.8,33
2021-09-20,615.5,165.0,34
2021-09-21,615.5,124.6,33
2021-09-22,5033.4,80.1,29
2021-09-23,1625.4,0.0,8
2021-09-24,1974.4,0.0,9
2021-09-25,1974.4,0.0,9
2021-09-26,1974.4,0.0,9
2021-09-27,2827.8,0.0,11
2021-09-28,2856.0,0.0,11
2021-09-29,2856.0,0.0,11
2021-09-30,2049.9,0.0,10
2021-10-01,1817.8999999999999,0.0,9
2021-10-02,1991.0,0.0,11
2021-10-03,945.0,0.1,10
2021-10-04,1531.2,0.0,12
2021-10-05,1387.3000000000002,0.0,11
2021-10-06,1366.3000000000002,0.0,10
2021-10-07,1388.2,0.0,6
2021-10-08,1413.2,8.399999999999999,11
2021-10-09,1428.9,7.1,8
2021-10-10,2931.1000000000004,7.1,11
2021-10-11,2931.1000000000004,7.1,11
2021-10-12,2931.1000000000004,0.0,11
2021-10-13,2931.1000000000004,0.0,11
2021-10-14,2971.1000000000004,0.0,12
2021-10-15,2971.1000000000004,0.0,12
2021-10-16,2961.0999999999995,0.0,11
2021-10-17,315.7,0.0,6
2021-10-18,807.0,0.0,9
2021-10-19,1039.0,0.0,10
2021-10-20,1268.8,0.0,12
2021-10-21,1268.8,0.0,12
2021-10-22,1036.8,0.0,11
2021-10-23,922.8,0.0,10
2021-10-24,922.8,0.0,10
2021-10-25,934.0,0.0,11
2021-10-26,934.0,146.2,13
2021-10-27,1017.8,179.2,15
2021-10-28,1017.8,212.0,17
2021-10-29,846.0,200.2,14
2021-10-30,431.5,54.0,10
2021-10-31,431.5,54.0,10
2021-11-01,472.0,188.6,12
2021-11-02,1063.6,230.6,17
2021-11-03,483.20000000000005,230.6,14
2021-11-04,447.7,230.6,14
2021-11-05,431.3,96.0,11
2021-11-06,431.3,96.0,11
2021-11-07,431.3,96.0,11
2021-11-08,680.9000000000001,96.0,13
2021-11-09,872.4,98.0,14
2021-11-10,640.4,96.0,13
2021-11-11,640.4,96.0,12
2021-11-12,640.4,96.0,12
2021-11-13,640.4,54.0,11
2021-11-14,640.4,54.0,11
2021-11-15,775.9,54.0,13
2021-11-16,775.9,54.5,14
2021-11-17,775.9,33.0,12
2021-11-18,775.9,33.0,13
2021-11-19,775.9,187.0,14
2021-11-20,775.9,187.0,14
2021-11-21,775.9,187.1,15
2021-11-22,899.4,187.0,18
2021-11-23,710.8,187.0,17
2021-11-24,710.8,187.0,17
2021-11-25,710.8,187.0,17
2021-11-26,710.8,187.0,16
2021-11-27,420.0,187.2,14
2021-11-28,420.0,187.0,13
2021-11-29,420.0,187.0,13
2021-11-30,420.0,187.0,13
2021-12-01,420.0,418.0,16
2021-12-02,420.0,292.0,15
2021-12-03,420.0,292.0,15
2021-12-04,420.0,187.0,13
2021-12-05,420.0,187.0,13
2021-12-06,420.0,187.0,13
2021-12-07,284.5,187.0,11
2021-12-08,284.5,188.4,13
2021-12-09,284.5,33.0,9
2021-12-10,284.5,33.0,9
2021-12-11,284.5,33.0,9
2021-12-12,284.5,33.0,9
2021-12-13,284.5,33.0,9
2021-12-14,284.5,33.0,9
2021-12-15,284.5,33.0,9
2021-12-16,255.5,33.0,8
2021-12-17,255.5,33.0,8
2021-12-18,115.5,0.0,5
2021-12-19,115.5,0.0,5
2021-12-20,115.5,0.0,5
2021-12-21,115.5,0.0,5
2021-12-22,115.5,0.0,5
2021-12-23,115.5,0.0,5
2021-12-24,115.5,0.0,5
2021-12-25,115.5,0.0,5
2021-12-26,115.5,0.0,5
2021-12-27,115.5,0.0,5
2021-12-28,115.5,0.0,5
2021-12-29,115.5,0.0,5
2021-12-30,115.5,0.0,5
2021-12-31,115.5,0.0,5
2022-01-01,156.0,0.0,6
2022-01-02,156.0,0.0,6
2022-01-03,305.5,0.0,8
2022-01-04,340.9,0.0,9
2022-01-05,340.9,0.0,9
2022-01-06,340.9,0.0,9
2022-01-07,340.9,0.0,9
2022-01-08,305.5,0.0,8
2022-01-09,305.5,0.0,8
2022-01-10,305.5,0.0,8
2022-01-11,334.5,0.0,9
2022-01-12,305.5,0.0,8
2022-01-13,305.5,0.0,8
2022-01-14,305.5,0.0,8
2022-01-15,305.5,0.0,8
2022-01-16,307.5,0.0,9
2022-01-17,512.7,0.0,9
2022-01-18,512.7,0.0,9
2022-01-19,512.7,0.0,9
2022-01-20,512.7,0.0,9
2022-01-21,514.7,0.0,10
2022-01-22,512.7,0.0,9
2022-01-23,512.7,0.0,9
2022-01-24,512.7,0.0,9
2022-01-25,512.7,0.0,9
2022-01-26,643.7,0.0,10
2022-01-27,643.7,0.0,10
2022-01-28,643.7,0.0,10
2022-01-29,512.7,0.0,9
2022-01-30,512.7,0.0,9
2022-01-31,512.7,0.0,9
2022-02-01,514.7,0.0,10
2022-02-02,512.7,0.0,9
2022-02-03,512.7,0.0,9
2022-02-04,512.7,0.0,9
2022-02-05,514.7,0.0,10
2022-02-06,512.7,0.0,9
2022-02-07,514.7,0.0,10
2022-02-08,517.1,0.0,11
2022-02-09,512.7,0.0,9
2022-02-10,512.7,0.0,9
2022-02-11,512.7,0.0,9
2022-02-12,512.7,0.0,9
2022-02-13,512.7,0.0,9
2022-02-14,512.7,0.0,9
2022-02-15,512.7,0.0,9
2022-02-16,512.7,0.0,9
2022-02-17,602.1,0.0,9
2022-02-18,451.7,0.0,8
2022-02-19,451.7,0.0,8
2022-02-20,451.7,0.0,8
2022-02-21,451.7,0.0,8
2022-02-22,451.7,0.0,8
2022-02-23,451.7,0.0,9
2022-02-24,451.7,0.0,8
2022-02-25,451.7,0.0,8
2022-02-26,451.7,0.0,8
2022-02-27,451.7,0.0,8
2022-02-28,451.7,0.0,8
2022-03-01,451.7,0.0,8
2022-03-02,451.7,0.0,8
2022-03-03,451.7,0.0,8
2022-03-04,451.7,0.0,8
2022-03-05,451.7,0.0,8
2022-03-06,451.7,0.0,8
2022-03-07,464.1,0.0,9
2022-03-08,464.1,0.0,9
2022-03-09,464.1,0.0,9
2022-03-10,464.1,0.0,9
2022-03-11,464.1,0.0,10
2022-03-12,464.1,0.0,10
2022-03-13,451.7,0.0,9
2022-03-14,464.1,0.0,10
2022-03-15,464.1,0.4,12
2022-03-16,464.1,0.0,10
2022-03-17,473.09999999999997,0.0,12
2022-03-18,432.4,0.0,11
2022-03-19,432.4,0.0,11
2022-03-20,420.0,0.0,10
2022-03-21,420.0,0.0,10
2022-03-22,765.6,0.0,12
2022-03-23,765.6,0.0,12
2022-03-24,477.6,0.0,11
2022-03-25,477.6,0.0,11
2022-03-26,477.6,0.0,11
2022-03-27,477.6,0.0,11
2022-03-28,477.6,0.0,11
2022-03-29,477.6,0.0,11
2022-03-30,477.6,0.0,11
2022-03-31,477.6,0.0,11
2022-04-01,260.4,0.0,11
2022-04-02,154.7,0.0,8
2022-04-03,154.7,0.0,8
2022-04-04,1375.3,0.1,19
2022-04-05,1375.3,0.0,18
2022-04-06,1375.3,0.0,18
2022-04-07,1552.7,0.0,19
2022-04-08,1232.0,0.0,18
2022-04-09,1232.0,0.0,18
2022-04-10,1232.0,0.0,18
2022-04-11,1991.7999999999997,0.0,26
2022-04-12,1741.6,0.0,25
2022-04-13,1432.1,0.0,21
2022-04-14,1303.0,0.0,20
2022-04-15,1160.0,0.0,18
2022-04-16,1160.0,0.0,18
2022-04-17,1160.0,0.0,18
2022-04-18,1251.3999999999999,0.0,19
2022-04-19,1135.9999999999998,0.0,19
2022-04-20,1149.4,0.0,20
2022-04-21,1149.4,0.0,20
2022-04-22,1135.9999999999998,0.0,19
2022-04-23,1044.6,0.0,18
2022-04-24,1044.6,0.0,18
2022-04-25,1957.6,0.0,22
2022-04-26,2052.3999999999996,0.0,23
2022-04-27,2016.1,0.0,22
2022-04-28,1921.2999999999997,0.0,21
2022-04-29,1921.2999999999997,0.0,21
2022-04-30,573.4999999999999,0.0,13
2022-05-01,573.4999999999999,0.0,13
2022-05-02,1751.6,0.0,19
2022-05-03,1697.8,0.0,18
2022-05-04,1697.8,0.0,18
2022-05-05,1697.8,0.0,18
2022-05-06,1079.6,369.7,18
2022-05-07,1079.6,0.0,17
2022-05-08,1079.6,0.0,17
2022-05-09,1253.3999999999999,0.0,20
2022-05-10,1215.1,0.0,19
2022-05-11,1215.1,0.0,19
2022-05-12,1324.9999999999998,0.0,21
2022-05-13,858.3,137.7,18
2022-05-14,856.0,249.5,19
2022-05-15,766.0,441.09999999999997,20
2022-05-16,1002.1,520.9,25
2022-05-17,768.0,425.09999999999997,23
2022-05-18,793.6,137.7,19
2022-05-19,793.6,0.0,17
2022-05-20,722.4999999999999,0.0,16
2022-05-21,242.2,0.0,10
2022-05-22,199.8,0.0,9
2022-05-23,199.8,45.5,10
2022-05-24,199.8,45.5,10
2022-05-25,137.8,221.70000000000002,9
2022-05-26,137.8,221.70000000000002,12
2022-05-27,137.8,221.70000000000002,12
2022-05-28,137.8,0.0,11
2022-05-29,137.8,0.0,11
2022-05-30,302.8,0.0,13
2022-05-31,302.8,7.1,14
2022-06-01,536.4,85.1,17
2022-06-02,536.4,85.1,17
2022-06-03,305.4,19.1,15
2022-06-04,305.4,19.1,15
2022-06-05,305.4,19.1,15
2022-06-06,305.4,19.1,15
2022-06-07,337.2,19.400000000000002,17
2022-06-08,337.2,7.1,15
2022-06-09,337.2,36.2,17
2022-06-10,867.5999999999999,36.2,18
2022-06-11,670.8,36.2,15
2022-06-12,670.8,36.2,15
2022-06-13,1261.3999999999999,36.2,19
2022-06-14,1261.3999999999999,36.2,19
2022-06-15,1261.3999999999999,36.2,19
2022-06-16,1261.3999999999999,36.2,19
2022-06-17,1266.8,36.2,21
2022-06-18,1266.8,352.6,22
2022-06-19,1266.8,352.6,22
2022-06-20,1926.2,352.6,29
2022-06-21,1390.3999999999999,71.6,26
2022-06-22,1169.9999999999998,71.6,27
2022-06-23,1169.9999999999998,71.6,27
2022-06-24,964.2,59.0,24
2022-06-25,932.4,59.0,23
2022-06-26,919.3000000000001,59.0,22
2022-06-27,1087.1,59.0,25
2022-06-28,1132.1,59.0,25
2022-06-29,1511.3999999999999,59.0,23
2022-06-30,1445.4,59.0,22
2022-07-01,904.6999999999999,59.0,18
2022-07-02,853.5999999999999,59.0,17
2022-07-03,853.5999999999999,59.0,17
2022-07-04,1318.1,59.0,20
2022-07-05,1420.1,59.0,23
2022-07-06,746.9999999999999,59.0,18
2022-07-07,746.9999999999999,59.0,18
2022-07-08,746.9999999999999,59.0,18
2022-07-09,607.1999999999999,59.0,17
2022-07-10,483.0,59.0,16
2022-07-11,507.7,59.0,17
2022-07-12,507.70000000000005,59.0,16
2022-07-13,507.70000000000005,59.0,16
2022-07-14,507.70000000000005,59.0,16
