name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info
EU,eu,eu,2026-04-18 01:07:37,2020-06-01,2020-06-02,828.472,4349.0,19.05,4052.49,332.8,-3719.7,1128.9756,11991.08,19912.04,-,-,-,E,0.33,73.38,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-02,2020-06-03,831.3015,4349.0,19.11,3162.27,305.9,-2856.4,1128.9756,11990.86,19912.62,-,-,-,E,0.25,73.63,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-03,2020-06-04,834.1006,4349.0,19.18,3107.02,322.5,-2784.6,1128.9756,11990.4,19913.86,-,-,-,E,0.25,73.88,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-04,2020-06-05,837.0602,4349.0,19.25,3324.19,363.6,-2960.6,1128.9756,11991.24,19912.62,-,-,-,E,0.26,74.14,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-05,2020-06-06,840.0774,4349.0,19.32,3389.11,351.6,-3037.5,1129.3356,11990.58,19914.38,-,-,-,E,0.27,74.39,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-06,2020-06-07,843.8851,4349.0,19.4,4028.46,217.1,-3811.4,1129.3356,12004.85,19913.31,-,-,-,E,0.34,74.72,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-07,2020-06-08,847.7299,4349.0,19.49,4022.17,163.7,-3858.4,1129.3356,12004.03,19913.45,-,-,-,E,0.34,75.06,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-08,2020-06-09,850.1192,4349.0,19.55,3023.79,658.9,-2364.9,1130.132,11977.73,19921.53,-,-,-,E,0.21,75.22,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-09,2020-06-10,851.8144,4349.0,19.59,2580.35,881.8,-1698.5,1130.132,11977.28,19922.72,-,-,-,E,0.15,75.37,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-10,2020-06-11,853.5921,4349.0,19.63,2474.09,695.0,-1779.1,1130.132,11976.93,19923.65,-,-,-,E,0.16,75.53,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-11,2020-06-12,856.2025,4349.0,19.69,3062.21,449.5,-2612.7,1130.132,11976.69,19924.3,-,-,-,E,0.23,75.76,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-12,2020-06-13,859.2267,4349.0,19.76,3455.35,430.4,-3024.9,1130.132,11976.34,19925.23,-,-,-,E,0.27,76.03,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-13,2020-06-14,863.3108,4349.0,19.85,4220.05,158.4,-4061.7,1130.132,11975.82,19926.6,-,-,-,E,0.36,76.39,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-14,2020-06-15,867.319,4349.0,19.94,4196.48,200.7,-3995.8,1130.132,11975.26,19928.08,-,-,-,E,0.35,76.74,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-15,2020-06-16,869.5235,4349.0,19.99,3114.61,447.5,-2667.1,1130.0465,11973.39,19927.43,-,-,-,E,0.2,76.95,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-16,2020-06-17,871.616,4349.0,20.04,2720.98,611.5,-2109.5,1130.0465,11972.97,19928.52,-,-,-,E,0.19,77.13,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-17,2020-06-18,873.5957,4349.0,20.09,2630.24,642.6,-1987.6,1130.0724,11972.62,19929.45,-,-,-,E,0.18,77.3,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-18,2020-06-19,875.9147,4349.0,20.14,2829.26,506.7,-2322.5,1130.0724,11972.36,19930.16,-,-,-,E,0.21,77.51,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-19,2020-06-20,878.4603,4349.0,20.2,2945.27,401.4,-2543.9,1130.0724,11958.91,19931.32,-,-,-,E,0.23,77.73,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-20,2020-06-21,882.2541,4349.0,20.29,4114.87,324.8,-3790.1,1130.0724,11958.49,19932.48,-,-,-,E,0.34,78.07,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-21,2020-06-22,886.3549,4349.0,20.38,4344.02,256.2,-4087.8,1130.0724,11957.83,19934.17,-,-,-,E,0.36,78.43,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-22,2020-06-23,889.3315,4349.0,20.45,3313.01,322.9,-2990.2,1130.1637,11979.57,19938.16,-,-,-,E,0.26,78.69,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-23,2020-06-24,891.8868,4349.0,20.51,2908.86,369.6,-2539.2,1130.1633,11978.96,19939.64,-,-,-,E,0.23,78.92,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-24,2020-06-25,894.2662,4349.0,20.56,2755.12,368.7,-2386.4,1130.163,11978.53,19940.7,-,-,-,E,0.21,79.13,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-25,2020-06-26,896.6595,4349.0,20.62,2711.78,326.1,-2385.6,1130.1627,11978.11,19941.71,-,-,-,E,0.21,79.34,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-26,2020-06-27,899.5159,4349.0,20.68,3059.13,218.1,-2841.0,1130.1624,11977.75,19942.66,-,-,-,E,0.25,79.59,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-27,2020-06-28,903.3443,4349.0,20.77,3969.44,147.8,-3821.7,1130.1624,11977.29,19943.85,-,-,-,E,0.34,79.93,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-28,2020-06-29,907.4189,4349.0,20.87,4187.95,116.4,-4071.6,1130.1624,11976.77,19945.23,-,-,-,E,0.36,80.29,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-29,2020-06-30,910.2987,4349.0,20.93,3132.23,253.4,-2878.8,1130.1852,11976.59,19947.19,-,-,-,E,0.25,80.54,[]
EU,eu,eu,2026-04-18 01:07:37,2020-06-30,2020-07-01,911.4124,4349.0,20.96,3088.56,352.2,-2736.3,1130.1852,12023.82,19870.36,-,-,-,E,0.1,80.64,[]
EU,eu,eu,2026-04-18 01:07:37,2020-07-01,2020-07-02,914.889,4349.0,21.04,2534.33,518.4,-2016.0,1131.9852,11975.73,19949.47,-,-,-,E,0.31,80.82,[]
EU,eu,eu,2026-04-18 01:07:37,2020-07-02,2020-07-03,917.0613,4349.0,21.09,2525.36,357.6,-2167.8,1131.9852,11975.28,19950.65,-,-,-,E,0.19,81.01,[]
EU,eu,eu,2026-04-18 01:07:37,2020-07-03,2020-07-04,920.3976,4349.0,21.16,3275.36,257.7,-3017.6,1131.9852,11975.51,19950.06,-,-,-,E,0.29,81.31,[]
EU,eu,eu,2026-04-18 01:07:37,2020-07-04,2020-07-05,924.6604,4349.0,21.26,4452.73,197.4,-4255.3,1131.9852,11975.32,19950.54,-,-,-,E,0.38,81.68,[]
EU,eu,eu,2026-04-18 01:07:37,2020-07-05,2020-07-06,929.0343,4349.0,21.36,4587.64,206.2,-4381.5,1131.9852,11975.09,19951.15,-,-,-,E,0.39,82.07,[]
EU,eu,eu,2026-04-18 01:07:37,2020-07-06,2020-07-07,931.395,4349.0,21.42,3272.05,714.9,-2557.2,1131.9586,12022.11,19951.14,-,-,-,E,0.21,82.28,[]
EU,eu,eu,2026-04-18 01:07:37,2020-07-07,2020-07-08,932.8199,4349.0,21.45,2562.0,1128.0,-1433.9,1131.9586,12021.98,19951.45,-,-,-,E,0.13,82.41,[]
