name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info
Germany,DE,DE,2026-04-18 01:07:37,2020-06-01,2020-06-02,209.0089,871.0,24.0,625.53,11.8,-613.7,245.4954,3852.19,6624.48,-,-,-,E,0.26,85.14,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-02,2020-06-03,209.3502,871.0,24.04,345.66,10.5,-335.1,245.4954,3852.19,6624.48,-,-,-,E,0.14,85.28,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-03,2020-06-04,209.6774,871.0,24.07,347.8,38.1,-309.7,245.4954,3852.19,6624.48,-,-,-,E,0.13,85.41,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-04,2020-06-05,209.9765,871.0,24.11,442.63,153.1,-289.5,245.4954,3852.19,6624.48,-,-,-,E,0.12,85.53,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-05,2020-06-06,210.1377,871.0,24.13,263.63,115.1,-148.6,245.4954,3852.19,6624.48,-,-,-,E,0.07,85.6,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-06,2020-06-07,210.6457,871.0,24.18,529.32,8.5,-520.9,245.4954,3852.19,6624.48,-,-,-,E,0.21,85.8,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-07,2020-06-08,211.1173,871.0,24.24,497.56,17.5,-480.1,245.4954,3852.19,6624.48,-,-,-,E,0.19,86.0,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-08,2020-06-09,211.2798,871.0,24.26,196.63,58.3,-138.3,246.2918,3851.62,6623.64,-,-,-,E,0.07,85.78,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-09,2020-06-10,211.3843,871.0,24.27,145.11,47.0,-98.1,246.2918,3851.62,6623.64,-,-,-,E,0.04,85.83,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-10,2020-06-11,211.3779,871.0,24.27,69.98,85.1,15.2,246.2918,3851.62,6623.64,-,-,-,E,-0.0,85.82,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-11,2020-06-12,211.6815,871.0,24.3,304.27,8.9,-295.4,246.2918,3851.62,6623.64,-,-,-,E,0.12,85.95,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-12,2020-06-13,212.1289,871.0,24.35,447.38,9.8,-437.5,246.2918,3851.62,6623.64,-,-,-,E,0.18,86.13,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-13,2020-06-14,212.8218,871.0,24.43,698.94,18.1,-680.8,246.2918,3851.62,6623.64,-,-,-,E,0.28,86.41,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-14,2020-06-15,213.6257,871.0,24.53,807.69,17.3,-790.4,246.2918,3851.62,6623.64,-,-,-,E,0.33,86.74,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-15,2020-06-16,213.9783,871.0,24.57,360.4,16.3,-344.1,246.2063,3850.26,6621.65,-,-,-,E,0.14,86.91,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-16,2020-06-17,214.199,871.0,24.59,275.94,63.2,-212.7,246.2063,3850.26,6621.65,-,-,-,E,0.09,87.0,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-17,2020-06-18,214.3753,871.0,24.61,195.65,24.9,-170.7,246.2322,3850.26,6621.65,-,-,-,E,0.07,87.06,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-18,2020-06-19,214.5468,871.0,24.63,187.7,26.6,-161.1,246.2322,3850.26,6621.65,-,-,-,E,0.07,87.13,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-19,2020-06-20,214.7869,871.0,24.66,247.38,17.1,-230.3,246.2322,3850.26,6621.65,-,-,-,E,0.1,87.23,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-20,2020-06-21,215.3826,871.0,24.73,597.39,13.1,-584.3,246.2322,3850.26,6621.65,-,-,-,E,0.24,87.47,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-21,2020-06-22,216.0625,871.0,24.81,677.16,8.4,-668.7,246.2322,3850.26,6621.65,-,-,-,E,0.28,87.75,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-22,2020-06-23,216.3767,871.0,24.84,320.98,14.3,-306.7,246.3235,3851.71,6623.77,-,-,-,E,0.13,87.84,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-23,2020-06-24,216.628,871.0,24.87,249.9,14.4,-235.5,246.3235,3851.71,6623.77,-,-,-,E,0.1,87.94,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-24,2020-06-25,216.8008,871.0,24.89,179.37,24.4,-155.0,246.3235,3851.71,6623.77,-,-,-,E,0.07,88.01,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-25,2020-06-26,217.0206,871.0,24.92,229.58,24.4,-205.2,246.3235,3851.71,6623.77,-,-,-,E,0.09,88.1,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-26,2020-06-27,217.3138,871.0,24.95,288.47,6.7,-281.7,246.3235,3851.71,6623.77,-,-,-,E,0.12,88.22,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-27,2020-06-28,217.8479,871.0,25.01,526.83,6.5,-520.4,246.3235,3851.71,6623.77,-,-,-,E,0.22,88.44,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-28,2020-06-29,218.389,871.0,25.07,538.55,10.3,-528.3,246.3235,3851.71,6623.77,-,-,-,E,0.22,88.66,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-29,2020-06-30,218.6874,871.0,25.11,301.07,12.6,-288.5,246.3463,3852.07,6624.3,-,-,-,E,0.12,88.77,[]
Germany,DE,DE,2026-04-18 01:07:37,2020-06-30,2020-07-01,219.0462,871.0,25.15,363.92,17.0,-346.9,246.3463,3852.07,6624.3,-,-,-,E,0.15,88.92,[]
